1,117,110,40,50
2,163,110,40,50
3,205,110,40,50
4,249,110,40,50
5,294,110,40,50
6,339,110,35,50
7,380,110,45,50
8,380,164,45,44
9,380,210,45,46
10,380,260,45,46
11,382,313,42,48
12,339,313,39,48
13,340,260,35,48
14,340,225,35,30,right
15,328,164,47,45
16,254,164,65,45
17,254,217,45,35,left
18,254,260,50,45
19,274,313,35,48
20,234,313,35,48
21,195,313,35,48
22,157,313,35,48
23,114,313,40,48
24,114,255,40,50
25,160,265,40,43
26,205,240,45,63
27,210,190,40,45
28,163,165,40,45
29,117,165,40,55
30,452,255,35,55
31,491,255,35,55
32,530,255,45,45
33,545,315,30,35
34,530,365,45,30
35,493,345,35,50
36,450,345,40,50
37,448,642,38,35
38,448,680,38,35
39,488,642,38,35
40,528,642,42,35
41,539,685,31,33,right
42,575,695,70,93
43,520,742,50,47
44,483,745,34,44
45,445,745,34,44
46,113,393,40,48
47,154,393,38,48
48,194,393,35,48
49,232,393,35,48
50,272,393,37,48
51,311,393,37,48
52,351,393,34,48
53,388,393,34,48
54,374,443,47,31
55,374,477,47,34
56,374,513,47,32
57,374,547,47,35
58,374,584,47,35
59,331,580,40,38
60,331,539,40,38
61,331,498,40,38,right
62,341,458,32,34
63,300,443,40,34
64,258,443,38,45
65,218,443,37,45,right
66,180,443,37,45,right
67,155,463,37,30,left
68,155,515,37,30
69,185,542,37,31
70,229,532,38,42
71,270,517,33,57
72,267,577,35,42
73,227,577,35,42
74,187,577,35,42
75,151,577,34,42
76,112,577,36,42
77,112,534,39,40
78,112,490,39,40
79,112,447,39,40
80,112,648,40,35
81,155,648,33,42
82,192,648,31,42
83,227,648,33,42
84,263,648,35,42
85,300,648,35,42
86,339,648,31,42
87,375,648,45,30
88,375,680,45,30
89,375,712,45,30
90,338,693,33,47
91,300,693,33,47
92,259,693,37,46
93,219,693,37,45
94,184,693,32,45
95,149,693,32,45
96,112,698,30,45
97,112,745,30,40
98,112,791,30,33,right
99,150,791,30,33
100,183,766,33,40
101,220,766,35,40
102,258,770,39,55
108,455,841,30,47
